u,v,weight
A1BG,CRISP3,1.0
A1BG,LGALS3,1.0
A1CF,APOBEC1,1.0
A1CF,CELF2,1.0
A1CF,KHSRP,1.0
A1CF,SYNCRIP,1.0
A1CF,TNPO2,1.0
A2M,ADAM19,1.0
A2M,ADAMTS1,1.0
A2M,AMBP,1.0
A2M,APOE,1.0
A2M,APP,1.0
A2M,ATF7IP,1.0
A2M,B2M,1.0
A2M,C11orf58,1.0
A2M,CDC42,1.0
A2M,CELA1,1.0
A2M,CPB2,1.0
A2M,CTSB,1.0
A2M,CTSE,1.0
A2M,CYP2C18,1.0
A2M,CYP2C8,1.0
A2M,ECSIT,1.0
A2M,ELAVL3,1.0
A2M,EXOSC1,1.0
A2M,FARSA,1.0
A2M,FGF2,1.0
A2M,GCDH,1.0
A2M,GEM,1.0
A2M,GRB2,1.0
A2M,GZMA,1.0
A2M,HSPA5,1.0
A2M,IFIT3,1.0
A2M,IFIT5,1.0
A2M,IL10,1.0
A2M,IL1B,1.0
A2M,IL2,1.0
A2M,IL4,1.0
A2M,IL6,1.0
A2M,IL8,1.0
A2M,KLK13,1.0
A2M,KLK2,1.0
A2M,KLK3,1.0
A2M,LCAT,1.0
A2M,LEP,1.0
A2M,LGALS3,1.0
A2M,LGALS8,1.0
A2M,LGALS9,1.0
A2M,LONP1,1.0
A2M,LRP1,1.0
A2M,MAST1,1.0
A2M,MFAP2,1.0
A2M,MGEA5,1.0
A2M,MLST8,1.0
A2M,MMP2,1.0
A2M,MYOC,1.0
A2M,NCDN,1.0
A2M,NGF,1.0
A2M,NOS3,1.0
A2M,PAEP,1.0
A2M,PAXIP1,1.0
A2M,PDGFA,1.0
A2M,PDGFB,1.0
A2M,PRAM1,1.0
A2M,PRDX2,1.0
A2M,RAD23A,1.0
A2M,RHEB,1.0
A2M,RNF32,1.0
A2M,SHBG,1.0
A2M,SPACA3,1.0
A2M,TGFB1,1.0
A2M,TGFB2,1.0
A2M,TGFBI,1.0
A2M,TNF,1.0
A2M,TRAPPC5,1.0
A2M,UMPS,1.0
AAAS,ARHGAP1,1.0
AAAS,TARDBP,1.0
AAAS,TTK,1.0
AADAT,ALDH18A1,1.0
AADAT,ASL,1.0
AADAT,ASNS,1.0
AADAT,ASS1,1.0
AADAT,BCAT1,1.0
AADAT,DARS,1.0
AADAT,GOT1,1.0
AADAT,HAAO,1.0
AADAT,IDH1,1.0
AADAT,MTHFD1,1.0
AADAT,MTHFR,1.0
AADAT,NAGS,1.0
AADAT,PBLD,1.0
AADAT,PRELID1,1.0
AADAT,PSAT1,1.0
AADAT,SLC25A2,1.0
AADAT,SNRPD1,1.0
AADAT,SRR,1.0
AAGAB,EIF3C,1.0
AAGAB,UNC119,1.0
AAMP,NOD2,1.0
AAMP,TH1L,1.0
AANAT,F2,1.0
AANAT,PRKACA,1.0
AANAT,YWHAZ,1.0
AARS,ACAT1,1.0
AARS,ACSS2,1.0
AARS,ADHFE1,1.0
AARS,ADK,1.0
AARS,ASL,1.0
AARS,ATIC,1.0
AARS,BYSL,1.0
AARS,CTH,1.0
AARS,DARS,1.0
AARS,DMC1,1.0
AARS,EEF1B2,1.0
AARS,EIF1B,1.0
AARS,EIF3A,1.0
AARS,EIF3G,1.0
AARS,EIF3I,1.0
AARS,EIF5A,1.0
AARS,ETS1,1.0
AARS,FDPS,1.0
AARS,FKBP1A,1.0
AARS,GARS,1.0
AARS,GDI2,1.0
AARS,GOT1,1.0
AARS,HDLBP,1.0
AARS,HSP90AB1,1.0
AARS,IARS,1.0
AARS,IDH3A,1.0
AARS,IKBKE,1.0
AARS,KARS,1.0
AARS,LARS,1.0
AARS,MDH2,1.0
