u,v,weight
A1CF,APOBEC1,1.0
A1CF,CELF2,1.0
A1CF,KHSRP,1.0
A1CF,SYNCRIP,1.0
A1CF,TNPO2,1.0
A2BP1,MAFF,1.0
A2BP1,MAFK,1.0
A2M,ADAMTS1,1.0
A2M,AMBP,1.0
A2M,APOE,1.0
A2M,B2M,1.0
A2M,CPB2,1.0
A2M,EP300,1.0
A2M,FOXA1,1.0
A2M,FOXA2,1.0
A2M,HSPA5,1.0
A2M,IL10,1.0
A2M,IL4,1.0
A2M,KLK13,1.0
A2M,KLK3,1.0
A2M,LCAT,1.0
A2M,LEP,1.0
A2M,LRP1,1.0
A2M,MMP2,1.0
A2M,NGF,1.0
A2M,PAEP,1.0
A2M,TCF4,1.0
AAAS,CTCF,1.0
AAAS,PAX5,1.0
AACS,ACAT1,1.0
AACS,ACAT2,1.0
AACS,BDH1,1.0
AACS,BDH2,1.0
AACS,EHHADH,1.0
AACS,FAH,1.0
AACS,HADH,1.0
AACS,HMGCL,1.0
AACS,HMGCS1,1.0
AACS,HMGCS2,1.0
AACS,HSD17B10,1.0
AACS,HSD17B4,1.0
AACS,OXCT1,1.0
AACS,OXCT2,1.0
AADAC,CES1,1.0
AADAC,CES5A,1.0
AADAC,DDHD1,1.0
AADAC,LIPA,1.0
AADAC,PLA1A,1.0
AADAC,PPME1,1.0
AADAC,PRDX6,1.0
AADACL4,SETDB1,1.0
AADAT,AASDH,1.0
AADAT,AASDHPPT,1.0
AADAT,AFMID,1.0
AADAT,EPHA4,1.0
AADAT,FGFR2,1.0
AADAT,KMO,1.0
AADAT,OGDH,1.0
AADAT,OGDHL,1.0
AADAT,RAD21,1.0
AADAT,SCYL3,1.0
AAGAB,EIF3C,1.0
AAGAB,EP300,1.0
AAGAB,IRF1,1.0
AAGAB,SP1,1.0
AAGAB,TAF1,1.0
AAK1,CNOT10,1.0
AAK1,CSDE1,1.0
AAK1,CSRP3,1.0
AAK1,DDEFL1,1.0
AAK1,EIF2AK2,1.0
AAK1,FGR,1.0
AAK1,GATA2,1.0
AAK1,HINT2,1.0
AAK1,HLCS,1.0
AAK1,HNRPD,1.0
AAK1,HOXC8,1.0
AAK1,HRB,1.0
AAK1,KLHL13,1.0
AAK1,LOC51035,1.0
AAK1,MDM4,1.0
AAK1,MRPL18,1.0
AAK1,NEUROD1,1.0
AAK1,NFATC3,1.0
AAK1,NFATC4,1.0
AAK1,OTUD7B,1.0
AAK1,PAGE4,1.0
AAK1,PDLIM5,1.0
AAK1,PLG,1.0
AAK1,PTPMT1,1.0
AAK1,RELA,1.0
AAK1,RPS6KA2,1.0
AAK1,SCYL3,1.0
AAK1,SFRS4,1.0
AAK1,SOX10,1.0
AAK1,SOX2,1.0
AAK1,STK16,1.0
AAK1,TDRD3,1.0
AAK1,TSC22D3,1.0
AAK1,TSG101,1.0
AAK1,TTK,1.0
AAK1,WDR45L,1.0
AAK1,YES1,1.0
AAK1,ZCCHC14,1.0
AAK1,ZSCAN20,1.0
AAMP,FOS,1.0
AAMP,PBX3,1.0
AAMP,SIX5,1.0
AAMP,ZNF143,1.0
AANAT,ASMT,1.0
AANAT,DDC,1.0
AANAT,RAD21,1.0
AANAT,YWHAZ,1.0
AARS,AARS2,1.0
AARS,AGXT,1.0
AARS,AGXT2,1.0
AARS,CEBPB,1.0
AARS,FOS,1.0
AARS,GPT,1.0
AARS,GPT2,1.0
AARS,PBX3,1.0
AARS,SCLY,1.0
AARS2,AGXT,1.0
AARS2,AGXT2,1.0
AARS2,CTCF,1.0
AARS2,GPT,1.0
AARS2,GPT2,1.0
AARS2,SCLY,1.0
AARS2,YWHAQ,1.0
AASDH,AASDHPPT,1.0
AASDH,AASS,1.0
AASDHPPT,AASS,1.0
AASDHPPT,C19ORF62,1.0
AASDHPPT,MDFI,1.0
AASDHPPT,TRAF2,1.0
AASDHPPT,USP22,1.0
AASS,BTD,1.0
AASS,ICT1,1.0
AASS,MYC,1.0
AASS,TERF2,1.0
AATF,DAZAP2,1.0
AATF,E2F6,1.0
AATF,ELF1,1.0
AATF,LDOC1,1.0
AATF,LZTR1,1.0
AATF,MAGED1,1.0
AATF,MAPT,1.0
AATF,MAX,1.0
AATF,MPP6,1.0
AATF,PAWR,1.0
AATF,PCBD2,1.0
AATF,POLR2J,1.0
AATF,RB1,1.0
AATF,RBL1,1.0
AATF,RBL2,1.0
AATF,SP1,1.0
AATF,SS18L1,1.0
AATF,SUZ12,1.0
AATF,USF1,1.0
AATK,STK39,1.0
ABAT,ADC,1.0
ABAT,ALDH1A3,1.0
ABAT,ALDH1B1,1.0
ABAT,ALDH2,1.0
ABAT,ALDH3A1,1.0
ABAT,ALDH5A1,1.0
ABAT,ALDH6A1,1.0
ABAT,ALDH7A1,1.0
ABAT,ALDH9A1,1.0
ABAT,AOX1,1.0
ABAT,CNDP1,1.0
ABAT,GAD1,1.0
ABAT,GAD2,1.0
ABAT,GATM,1.0
ABAT,HIBADH,1.0
ABAT,HNF4A,1.0
ABAT,UPB1,1.0
ABCA1,AOX1,1.0
ABCA1,APOA1,1.0
ABCA1,COPS2,1.0
ABCA1,COPS5,1.0
ABCA1,CREBBP,1.0
ABCA1,FADD,1.0
ABCA1,HGS,1.0
ABCA1,PRPF8,1.0
ABCA1,SDHB,1.0
ABCA1,SNTB2,1.0
ABCA1,UBC,1.0
ABCA1,UGP1,1.0
ABCA1,XPC,1.0
ABCA10,RAD21,1.0
ABCA11P,FOS,1.0
ABCA11P,PBX3,1.0
ABCA11P,SP1,1.0
ABCA17P,CTCF,1.0
ABCA17P,CTCFL,1.0
ABCA17P,E2F6,1.0
ABCA17P,MAX,1.0
ABCA17P,NRF1,1.0
ABCA2,CACNA1A,1.0
ABCA2,CTCF,1.0
ABCA3,CTCF,1.0
ABCA3,CTCFL,1.0
ABCA3,E2F6,1.0
ABCA3,MAX,1.0
ABCA3,NRF1,1.0
ABCA4,CNGB1,1.0
ABCA5,E2F1,1.0
ABCA7,EBF1,1.0
ABCA7,PBX3,1.0
ABCA7,TAL1,1.0
ABCB1,DHX9,1.0
ABCB10,E2F1,1.0
ABCB10,GATA1,1.0
ABCB10,GATA2,1.0
ABCB10,MXI1,1.0
ABCB10,TAL1,1.0
ABCB10,ZBTB7A,1.0
ABCB10,ZNF263,1.0
ABCB6,TAF1,1.0
ABCB6,USF1,1.0
ABCB7,FECH,1.0
ABCB7,ICT1,1.0
ABCB8,FOS,1.0
ABCB8,IRF1,1.0
ABCB8,NFYA,1.0
ABCB8,NFYB,1.0
ABCB8,SAT1,1.0
ABCB8,SP1,1.0
ABCB8,SP2,1.0
ABCC11,STAT1,1.0
ABCC12,VCPIP1,1.0
ABCC2,EP300,1.0
ABCC2,FOS,1.0
ABCC2,JUND,1.0
ABCC2,PDZD3,1.0
ABCC2,PDZK1,1.0
ABCC2,SLC9A3R1,1.0
ABCC3,CEBPB,1.0
ABCC3,CTCF,1.0
ABCC3,HNF4A,1.0
ABCC3,NR3C1,1.0
ABCC4,HAX1,1.0
ABCC5,EP300,1.0
ABCC5,ESR1,1.0
ABCC5,FOXA1,1.0
ABCC5,GATA1,1.0
ABCC5,GATA3,1.0
ABCC5,ZNF143,1.0
ABCC8,KCNJ11,1.0
ABCC8,RAPGEF4,1.0
ABCC9,EEF1G,1.0
ABCC9,LDHA,1.0
ABCD1,ABCD2,1.0
ABCD1,ABCD3,1.0
ABCD1,PEX19,1.0
ABCD1,POT1,1.0
ABCD1,TERF2,1.0
ABCD2,MEF2A,1.0
ABCD2,MEF2C,1.0
ABCD2,PEX19,1.0
ABCD3,BRF2,1.0
ABCD3,C20ORF24,1.0
ABCD3,CLN3,1.0
ABCD3,HNF4A,1.0
ABCD3,MEST,1.0
ABCD3,MLF2,1.0
ABCD3,PELO,1.0
ABCD3,PEX19,1.0
ABCD3,PGRMC1,1.0
ABCD3,PTP4A3,1.0
ABCD3,USP32,1.0
ABCD3,USP50,1.0
ABCD4,DLEU1,1.0
ABCD4,PEA15,1.0
ABCD4,XRCC6,1.0
ABCE1,EIF3F,1.0
ABCE1,EIF3H,1.0
ABCE1,JUND,1.0
ABCE1,RNASEL,1.0
ABCE1,UBASH3A,1.0
ABCE1,UBC,1.0
ABCE1,USP50,1.0
ABCF1,BHLHE40,1.0
ABCF1,EIF6,1.0
ABCF1,MAX,1.0
ABCF1,MYC,1.0
ABCF2,CEBPB,1.0
ABCF2,PACRG,1.0
ABCF2,SIX5,1.0
ABCF2,SNW1,1.0
ABCF2,ZNF143,1.0
ABCF3,ACIN1,1.0
ABCF3,C11ORF59,1.0
ABCF3,DLEU1,1.0
ABCF3,DNALI1,1.0
ABCF3,GATA1,1.0
ABCF3,NRF1,1.0
ABCF3,SRRM2,1.0
ABCF3,TOE1,1.0
ABCG1,CEBPB,1.0
ABCG1,EP300,1.0
ABCG1,SPI1,1.0
ABHD10,H2AFX,1.0
ABHD10,NRF1,1.0
ABHD10,SQSTM1,1.0
ABHD11,EP300,1.0
ABHD11,ESR1,1.0
ABHD11,FOXA1,1.0
ABHD11,TCF12,1.0
ABHD12B,TCF4,1.0
ABHD14B,CTCF,1.0
ABHD2,IRF1,1.0
ABHD2,PBX3,1.0
ABHD2,SP1,1.0
ABHD2,SP2,1.0
ABHD4,ATF3,1.0
ABHD4,FOXA1,1.0
ABHD4,NRF1,1.0
ABHD4,SIN3A,1.0
ABHD4,SREBF1,1.0
ABHD5,CCNT2,1.0
ABHD5,NRF1,1.0
ABHD8,PBX3,1.0
ABI1,ABL1,1.0
ABI1,APBB1,1.0
ABI1,CACNA1A,1.0
ABI1,ENAH,1.0
ABI1,EPS8,1.0
ABI1,EPS8L1,1.0
ABI1,EPS8L2,1.0
ABI1,EPS8L3,1.0
