u,v,weight
ARF5,SPTBN2,1.0
ARF5,KIF22,1.0
ARF5,DCTN6,1.0
ARF5,BET1,1.0
ARF5,YKT6,1.0
ARF5,COPB1,1.0
ARF5,ACTR10,1.0
ARF5,ARF3,1.0
ARF5,DYNC1LI2,1.0
ARF5,KDELR2,1.0
ARF5,DCTN3,1.0
ARF5,KLC4,1.0
ARF5,KIF23,1.0
ARF5,KIF11,1.0
ARF5,TMED2,1.0
ARF5,COPE,1.0
ARF5,CAPZA1,1.0
ARF5,KIF18A,1.0
ARF5,ARFGAP3,1.0
ARF5,SPTBN4,1.0
ARF5,ARCN1,1.0
ARF5,KIF3C,1.0
ARF5,CENPE,1.0
ARF5,ANK1,1.0
ARF5,KIF2B,1.0
ARF5,DYNC1LI1,1.0
ARF5,ANK3,1.0
ARF5,TMED3,1.0
ARF5,DCTN5,1.0
ARF5,TMED10,1.0
ARF5,ARF4,1.0
ARF5,KIF5B,1.0
ARF5,RAB1B,1.0
ARF5,ARFGAP1,1.0
ARF5,SPTBN5,1.0
ARF5,DYNC1I1,1.0
ARF5,KIF15,1.0
ARF5,COPG1,1.0
ARF5,CAPZA3,1.0
ARF5,COPB2,1.0
ARF5,KDELR1,1.0
ARF5,TMED9,1.0
ARF5,DYNC1H1,1.0
ARF5,SPTBN1,1.0
ARF5,ANK2,1.0
ARF5,KIFAP3,1.0
ARF5,DCTN1,1.0
ARF5,CAPZA2,1.0
ARF5,CD55,1.0
ARF5,COPA,1.0
ARF5,SPTA1,1.0
ARF5,ACTR1A,1.0
ARF5,GBF1,1.0
ARF5,KIF2C,1.0
ARF5,SPTAN1,1.0
ARF5,KIF4A,1.0
ARF5,KIF3B,1.0
ARF5,KLC3,1.0
ARF5,DYNLL1,1.0
ARF5,FOLR1,1.0
ARF5,KIF20A,1.0
ARF5,CD59,1.0
ARF5,DYNC1I2,1.0
ARF5,INS,1.0
ARF5,KIF2A,1.0
ARF5,KIF3A,1.0
ARF5,KDELR3,1.0
ARF5,RAB1A,1.0
ARF5,KIF4B,1.0
ARF5,KIF26A,1.0
ARF5,KLC2,1.0
ARF5,CAPZB,1.0
ARF5,COPG2,1.0
ARF5,RACGAP1,1.0
ARF5,TMED7,1.0
ARF5,DCTN2,1.0
ARF5,KIF5A,1.0
ARF5,DCTN4,1.0
ARF5,KLC1,1.0
ARF5,ARFGAP2,1.0
ARF5,ARF1,1.0
ARF5,USO1,1.0
ARF5,COPZ1,1.0
ARF5,SPTB,1.0
ARF5,DYNLL2,1.0
ARF5,COPZ2,1.0
ARF5,KIF13B,1.0
ARF5,KIF1B,1.0
ARF5,KIF6,1.0
ARF5,KIF27,1.0
ARF5,KIFC2,1.0
ARF5,KIF1C,1.0
ARF5,KIF9,1.0
ARF5,KIF21A,1.0
ARF5,KIF20B,1.0
ARF5,SURF4,1.0
ARF5,KIF12,1.0
ARF5,KIF19,1.0
ARF5,KIF16B,1.0
ARF5,KIF26B,1.0
ARF5,KIF25,1.0
ARF5,KIFC1,1.0
ARF5,KIF21B,1.0
ARF5,KIF1A,1.0
ARF5,SEC22B,1.0
ARF5,KIF18B,1.0
ARF5,CDC5L,1.0
ARF5,ASAP1,1.0
ARF5,CYTH3,1.0
ARF5,GGA1,1.0
SPTBN2,KIF22,1.0
SPTBN2,DCTN6,1.0
SPTBN2,BET1,1.0
SPTBN2,YKT6,1.0
SPTBN2,GOSR2,1.0
SPTBN2,GOSR1,1.0
SPTBN2,HLA-DOA,1.0
SPTBN2,COPB1,1.0
SPTBN2,ACTR10,1.0
SPTBN2,KRAS,1.0
SPTBN2,ARF3,1.0
SPTBN2,DYNC1LI2,1.0
SPTBN2,COG3,1.0
SPTBN2,KDELR2,1.0
SPTBN2,DCTN3,1.0
SPTBN2,KLC4,1.0
SPTBN2,KIF23,1.0
SPTBN2,KIF11,1.0
SPTBN2,TMED2,1.0
SPTBN2,COPE,1.0
SPTBN2,CAPZA1,1.0
SPTBN2,KIF18A,1.0
SPTBN2,ARFGAP3,1.0
SPTBN2,NAPA,1.0
SPTBN2,SPTBN4,1.0
SPTBN2,ARCN1,1.0
SPTBN2,KIF3C,1.0
